acronym	name	description	homepage	contact	released	administeredBy
ONLIRA	Ontology of Liver for Radiology	ONLIRA (Ontology of the Liver for Radiology) focuses on a semantic specification of imaging observations of CT scans for the liver. ONLIRA extends RadLex with semantic relationships that describe and relate the concepts. Thus, automated processing tasks, such as identifying similar patients, are supported.		neda barzegarmarvasti	2015-01-26T10:18:13.000-08:00	https://data.bioontology.org/users/Burak.Acar;https://data.bioontology.org/users/neda.marvasti
BKO	Bricks ontology	The BricKs Ontology (BKO) provides Systems Biology Graphical Notation representations of recurring concepts in molecular networks. These representations, called bricks, are associated in the ontology with terms describing the concepts. Part of these terms are borrowed from the Gene Ontology and the Systems Biology Ontology. The bricks can be used for both the template-based construction of molecular networks maps as well as for their annotation.	http://sbgnbricks.org	Adrien Rougny	2020-07-21T00:00:00.000+00:00	https://data.bioontology.org/users/arougny
MEDO	Mouse Experimental Design Ontology	A representation of experimental design for high-throughput mouse analysis pipelines.		Helen Parkinson	2012-11-22T00:00:00.000-08:00	https://data.bioontology.org/users/Mouse+Experimental+Design
SDOED	Social Determinants of Education Ontology	Social Determinants of Education Ontology (SDoE) arise from the growing recognition that various factors influence educational outcomes.\r\nEducational success or failure is not solely determined by in-school factors but external factors including social, economic, and environmental influences effect the edcational outcome.\r\ne.g. family income, access to resources, neighborhood, health, and more\r\n		Navya Martin Kollapally	2024-10-13T00:00:00.000+00:00	https://data.bioontology.org/users/Navya
EPISEM	Epilepsy Semiology	An ontology designed to capture the semiology of epilepsy including ictal, post-ictal, inter-ictal, and aura signs.   For the branches entitled "disease", "etiologic factor", "epidemiologic factor"--see ESSO ontology on this website for origin of terms.		Daniel B Hier	2019-11-07T00:00:00.000+00:00	https://data.bioontology.org/users/dbhier
SEDI	Semantic DICOM Ontology	An ontology for DICOM as used in the SeDI project.	https://semantic-dicom.org	https://semantic-dicom.com	2015-06-10T00:00:00.000+00:00	https://data.bioontology.org/users/dgrittner
DCMITYPE	DCMI Type Vocabulary	The DCMI Type Vocabulary provides a general, cross-domain list of approved terms that may be used as values for the Resource Type element to identify the genre of a resource	http://dublincore.org/documents/dcmi-type-vocabulary	Kim Durante	2014-12-02T00:00:00.000+00:00	https://data.bioontology.org/users/kdurante
YUNPING	yunping	yunping ontology test		yunping	2025-04-22T00:00:00.000+00:00	https://data.bioontology.org/users/yunping
GMO	Growth Medium Ontology	A structured controlled vocabulary for describing ingredients that constitute microbial growth media used in biological research centers.		Shuichi Kawashima	2024-08-28T00:00:00.000+00:00	https://data.bioontology.org/users/skwsm
ZONMW-ADMIN-MD	ZonMW Administrative Metadata Vocabulary	Collections of terms for the ZonMW COVID Training project. These terms are based on vocabularies provided for describing project-level metadata.\r\n\r\nThis submission was created using SKOS Play from an Excel spreadsheet.	https://github.com/fair-data-collective/zonmw-project-admin/tree/main/ontology	John Graybeal	2021-02-08T00:00:00.000+00:00	https://data.bioontology.org/users/graybeal
MOC	Material Organic Compound	Organic Compound		Nitin	2016-01-08T00:00:00.000+00:00	https://data.bioontology.org/users/Sun+Pharma
PROPREO	Proteomics Data and Process Provenance Ontology	A comprehensive proteomics data and process provenance ontology.	http://knoesis.wright.edu/research/semsci/application_domain/sem_life_sci/glycomics/resources/ontologies/propreo/	Satya S. Sahoo	2015-08-21T18:05:51.000-07:00	https://data.bioontology.org/users/satya
OCVDAE	Ontology of Cardiovascular Drug Adverse Events	OCVDAE is a biomedical ontology of cardiovascular disease drug-associated adverse events		Liwei Wang	2016-12-29T00:00:00.000+00:00	https://data.bioontology.org/users/wlliwei
NEMO	Neural ElectroMagnetic Ontology	Neural ElectroMagnetic Ontology (NEMO) describes classes of event-related brain potentials (ERP) and their properties, including spatial, temporal, and functional (cognitive/behavioral) attributes, and data-level attributes (acquisition and analysis parameters). Working (unstable), Release (stable), and Old (archival) versions of NEMO can be found on sourceforge: http://sourceforge.net/projects/nemoontologies/.	http://nemo.nic.uoregon.edu	Gwen Frishkoff	2013-10-21T00:00:00.000+00:00	https://data.bioontology.org/users/gfrishkoff
IAO	Information Artifact Ontology	The Information Artifact Ontology (IAO) is an  ontology of information entities, originally driven by work by the OBI consortium.<p>\r\n\r\n<p><b>To import</b><p>\r\n\r\nLatest released version: <a href="http://purl.obolibrary.org/obo/iao.owl">http://purl.obolibrary.org/obo/iao.owl</a><p>\r\n\r\n<b>Other versions</b><p>\r\n\r\nDeveloper (live) version: <a href="http://purl.obolibrary.org/obo/iao/dev/iao.owl">http://purl.obolibrary.org/obo/iao/dev/iao.owl</a><p>\r\n\r\nOntology metadata properties and classes only: <a href="http://purl.obolibrary.org/obo/iao/dev/ontology-metadata.owl">http://purl.obolibrary.org/obo/iao/dev/iao.owl</a><p>\r\n\r\n<b>Dated versions</b>\r\n<ul>\r\n<li><a href="http://purl.obolibrary.org/obo/iao/2009-11-06/iao.owl">http://purl.obolibrary.org/obo/iao/2009-11-06/iao.owl</a>\r\n<li><a href="http://purl.obolibrary.org/obo/iao/2010-09-14/iao.owl">http://purl.obolibrary.org/obo/iao/2010-09-14/iao.owl</a>\r\n<li><a href="http://purl.obolibrary.org/obo/iao/2010-10-26/iao.owl">http://purl.obolibrary.org/obo/iao/2010-10-26/iao.owl</a>\r\n<li><a href="http://purl.obolibrary.org/obo/iao/2011-05-09/iao.owl">http://purl.obolibrary.org/obo/iao/2011-05-09/iao.owl</a>\r\n<li><a href="http://purl.obolibrary.org/obo/iao/2015-02-23/iao.owl">http://purl.obolibrary.org/obo/iao/2015-02-23/iao.owl</a>\r\n</ul><p>\r\n\r\n<p>Please note: The ontology metrics displayed by BioPortal do not distinguish IAO-developed terms from terms imported from other ontologies.\r\n\r\n<p><b>Tracker</b>: <a href="http://purl.obolibrary.org/obo/iao/tracker">http://purl.obolibrary.org/obo/iao/tracker</a><br>\r\n<b>Discussion group</b>: <a href="http://groups.google.com/group/information-ontology">http://groups.google.com/group/information-ontology</a>	http://purl.obolibrary.org/obo/iao	Alan Ruttenberg	2022-11-15T18:06:13.000-08:00	https://data.bioontology.org/users/iao-admin
ICO	Informed Consent Ontology	Informed Consent Ontology (ICO) is a community-based ontology in the domain of informed consent. It is an OBO library ontology and developed by following the OBO Foundry principles. 	https://github.com/ICO-ontology/ICO	Oliver He	2025-03-15T18:06:20.000-07:00	https://data.bioontology.org/users/yongqunh%40med.umich.edu;https://data.bioontology.org/users/linikujp
NEET_	NEET_Ontology_	The data about health conditions of NEETs and EETs		Murat Dinçer	2025-04-23T00:00:00.000+00:00	https://data.bioontology.org/users/muratdincer
FB-BT	Drosophila Gross Anatomy Ontology	An ontology representing the gross anatomy of Drosophila melanogaster	http://purl.obolibrary.org/obo/fbbt	Claire Pilgrim	2025-10-16T18:08:26.000-07:00	https://data.bioontology.org/users/mmc46;https://data.bioontology.org/users/obo-anatomy%40lists.sourceforge.net
M4M-20-VARIABLES	M4M.20 FAIRWare Variables	DEMO vocabulary only! Controlled vocabularies allow an accurate and controlled approach in describing physical and digital assets (e.g., data). One of such controlled vocabulary is Psychology Variables. This controlled vocabulary is produced in Metadata 4 Machine (M4M) Workshop 20 (M4M.20 FAIRware Psychology), which is one of deliverables of FAIRware project funded by RoRi.\r\n\r\nsheet2rdf is used to build and serve Psychology Variables, while PURL is used to persist identifiers for the vocabulary, which resolve on BioPortal (Stanford's ontology service):\r\n	https://raw.githubusercontent.com/gofair-foundation/vocabs_archive/main/M4M20_variables.ttl	Barbara Magagna	2022-06-23T00:00:00.000+00:00	https://data.bioontology.org/users/niva;https://data.bioontology.org/users/mabablue
REPOS	repository	Repository OWL		desty	2022-10-16T00:00:00.000+00:00	https://data.bioontology.org/users/destyrodiah
HRAVS	HuBMAP Research Attributes Value Set	A collection of curated and standardized values used by the HuBMAP (Human BioMolecular Atlas Program) and SenNet (Cellular Senescence Network) metadata records to ensure uniformity in the description of samples and single-cell data produced by the consortium.		Josef Hardi	2025-10-24T00:00:00.000+00:00	https://data.bioontology.org/users/hubmap.curator;https://data.bioontology.org/users/johardi
CASE-BASE-ONTO	Case-base ontology for gastric dystemperament in Persian medicine	The case-base ontology was developed for a CBR system to diagnose gastric dystemperament in the Persian medicine.		Haleh Ayatollahi	2021-05-14T00:00:00.000+00:00	https://data.bioontology.org/users/shojaee
ONL-MSA	Mental State Assessment	This ontology is a module of the OntoNeuroLOG ontology, developed in the context of the NeuroLOG project, a french project supported by ANR (ANR-06-TLOG-024 grant) aiming at integrating distributed heterogeous resources in neuroimaging.\r\nThis MSA ontology module covers the field of mental state assessments, i.e. instruments, instrument variables, assessments, and resulting scores. It includes a generic domain core ontology, that provides a general model of such entities and a general taxonomy of behavioural, neurosychological and neuroclinical instruments, that can be easily extended to model any particular kind of instrument. It also includes such extensions for 8 relatively standard instruments, namely: (1) the Beck-depression-inventory-(BDI-II), (2) the Expanded-Disability-Status-Scale, (3) the Controlled-oral-word-association-test, (4) the Free-and-Cued-Selective-Reminding-Test-with-Immediate-Recall-16-item-version-(The-Gröber-and-Buschke-test), (5) the Mini-Mental-State, (6) the Stroop-color-and-word-test, (7) the Trail-making-test-(TMT), (8) the Wechsler-Adult-Intelligence-Scale-third-edition, (9) the Clinical-Dementia-Rating-scale, (10) the Category-verbal-fluency, (11) the Rey-Osterrieth-Complex-Figure-Test-(CFT).\r\n	http://neurolog.unice.fr/ontoneurolog/v3.0/Documentation_OntoNeuroLOGv3.pdf	Bernard Gibaud	2013-07-09T00:00:00.000-07:00	https://data.bioontology.org/users/bgibaud
XREF-FUNDER-REG	CrossRef Funder Registry	The Funder Registry provides a common taxonomy of international funding body names that funding data participants should use to normalize funder names and IDs for deposit with Crossref.\r\nThe list can be used to present authors with a pre-populated "Funder Name" option at the time of submission, and can also be used to match funder names extracted from papers.\r\nThe list is available to download as an RDF file, and is freely available under a CC0 license waiver.\r\nThis information was obtained from a GitLab repository created by Bryan Vickery (see Homepage). The first version downloaded was 1.34.	https://gitlab.com/crossref/open_funder_registry	John Graybeal	2025-10-15T18:24:32.000-07:00	https://data.bioontology.org/users/graybeal
DIKB	Drug Interaction Knowledge Base Ontology	An evidence taxonomy for pharmacologic studies that, when combined with a set of inclusion criteria, enable drug experts to specify what their confidence in a drug mechanism assertion would be if it were supported by a specific set of evidence.\r\n\r\nBoyce R, Collins C, Horn J, Kalet I. Computing with evidence Part I: A drug-mechanism evidence taxonomy oriented toward confidence assignment. J Biomed Inform. 2009 Dec;42(6):979-89. Epub 2009 May 10. PubMed PMID: 19435613; PubMed Central PMCID: PMC2783801. 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/front-page.html	Richard D Boyce	2015-05-18T00:00:00.000+00:00	https://data.bioontology.org/users/boycer
HSAPDV	Human Developmental Stages Ontology	Life cycle stages for Human. HsapDv was developed by the Bgee group with assistance from the core Uberon developers and the Human developmental anatomy ontology (EHDAA2) developers. Currently it includes both embryonic (Carnegie) stages and adult stages.\r\n\r\n	https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv	Chris Mungall	2025-01-23T18:06:08.000-08:00	https://data.bioontology.org/users/vendetti
EBP	EmpowerBP	Clinical practice guidelines, behaviour change theories, and associated behaviour change strategies for the management of hypertension.		Tyler Wheeler	2018-02-21T00:00:00.000+00:00	https://data.bioontology.org/users/tylerwheeler
MFOMD	MFO Mental Disease Ontology	An ontology to describe and classify mental diseases such as schizophrenia, annotated with DSM-IV and ICD codes where applicable.	https://github.com/jannahastings/mental-functioning-ontology	Janna Hastings	2020-04-26T18:07:24.000-07:00	https://data.bioontology.org/users/vendetti
OHD	The Oral Health and Disease Ontology	The Oral Health and Disease Ontology is intended as a BFO and OBO Foundry compliant ontology for the oral health domain. It is currently used to represent the content of dental practice health records and is intended to be further developed for use in translation medicine. It demonstrates a principled split between billing codes as information entities and what the codes are about, such as dental procedures, materials, and patients.\r\n\r\nOHD is structured using BFO uses terms from OGMS, OBI, IAO and FMA. In addition it uses terms from CARO, OMRSE, NCBITaxon, and a subset of terms from the Current Dental Terminology (CDT)\r\n\r\nOHD is in early development and subject to change without notice., The Oral Health and Disease Ontology (OHD) is an OBO Foundry ontology used for representing  oral-health maladies, their diagnosis, and treatment. It is has been used to represent the content of dental practice health records and is intended to be further developed for use in translation medicine. It demonstrates a principled split between billing codes as information entities and what the codes are about, and patients.	https://github.com/oral-health-and-disease-ontologies/ohd-ontology	Bill Duncan	2025-10-17T09:47:05.000-07:00	https://data.bioontology.org/users/vendetti;https://data.bioontology.org/users/wdduncan%40gmail.com
EPO	Early Pregnancy Ontology	The early pregnancy ontology contains the concepts to describe ectopic pregnancy ultrasound images, organized into several subsumption hierarchies for types of ectopic pregnancies and the signs, anatomical structures and technical elements of imaging associated with ectopic pregnancy.\r\nVersion 1.1 was used for ultrasound image annotations (Dhombres et al. Developing a knowledge base to support the annotation of ultrasound images of ectopic pregnancy. J Biomed Semantics, 2017)\r\n		Ferdinand Dhombres	2016-05-28T00:00:00.000+00:00	https://data.bioontology.org/users/dhombres
ZFS	Zebrafish Developmental Stages	An ontology of developmental stages of the Zebrafish (Danio rerio). Note that ZFA includes the leaf nodes of this ontology.		ZFIN administrators	2020-04-08T18:22:03.000-07:00	https://data.bioontology.org/users/zfinadmin%40zfin.org
GFO	General Formal Ontology	The General Formal Ontology (GFO) is a top-level ontology integrating objects and processes.	http://www.onto-med.de/ontologies/gfo/	Heinrich Herre	2006-01-07T00:00:00.000-08:00	https://data.bioontology.org/users/leechuck
SLEEP	SLEEP ontology	The SLEEP ontology aims to facilitate the collection of PGHD related to sleep patterns and behaviors. It was created by organizing sleep-related terms gathered from sleep questionnaires and specialized literature.		Hyeoneui Kim	2024-12-04T00:00:00.000+00:00	https://data.bioontology.org/users/Sunbee70
HENEGEO	Head and Neck Cancer - Clinical and Gene Ontology	HeNeGeO (Head and Neck Cancer - Clinical and Gene Ontology) presents a data model that encompasses both clinical and genomic aspects of Head and Neck Cancer (HNC) across every stage of the disease, covering prognosis, treatment and follow-up. This ontology builds upon the foundation laid by HENECON (Head and Neck Cancer Ontology) and has been significantly expanded with a focus on information pertaining to cancer recurrence, alongside a comprehensive list of genes that offer valuable insights throughout the entire head and neck cancer progression. To enhance clarity, novel medical terms have been thoughtfully annotated with their respective semantic meanings. This comprehensive update includes the incorporation of 29,770 genes, featuring essential details such as NCBI GeneID (EntrezID), gene symbol, gene name, gene alias, and the HGNC ID. The development of this ontology underwent rigorous review and validation by experts in both clinical and genomic domains.		Estefanía Estévez Priego	2023-10-23T00:00:00.000+00:00	https://data.bioontology.org/users/lhernandez
UHC-METADATA	UHC Metadata	Draft of onotlogy for UHC meta hub		Ran Li	2023-10-03T00:00:00.000+00:00	https://data.bioontology.org/users/ran-codes
FENICS	Functional Electrophysiology Nomenclature for Ion Channels	The Functional Epilepsy Nomenclature for Ion Channels (FENICS) is allowing the consistent evaluation of electrophysiology experiments on Ion Channels in the context of neurological disorders, in particular epilepsy. 		David Lewis-Smith	2020-09-30T00:00:00.000+00:00	https://data.bioontology.org/users/parthasars;https://data.bioontology.org/users/roland.krause
VODANA-MI	VODANA-MIGRANTS-INTERVIEWS	Migrants Interviews Ontologies\r\n		Ghardallou	2022-01-05T00:00:00.000+00:00	https://data.bioontology.org/users/Ghardallou
ECTO	Environmental conditions, treatments and exposures ontology	ECTO describes exposures to experimental treatments of plants and model organisms (e.g. exposures to modification of diet, lighting levels, temperature); exposures of humans or any other organisms to stressors through a variety of routes, for purposes of public health, environmental monitoring etc, stimuli, natural and experimental, any kind of environmental condition or change in condition that can be experienced by an organism or population of organisms on earth. The scope is very general and can include for example plant treatment regimens, as well as human clinical exposures (although these may better be handled by a more specialized ontology).	https://github.com/EnvironmentOntology/environmental-exposure-ontology	Anne Thessen	2023-02-14T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
MAMO	Mathematical Modelling Ontology	The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features.	http://co.mbine.org/standards/mamo	mamo-ontology-discuss	2023-02-03T00:00:00.000+00:00	https://data.bioontology.org/users/biomodels
CRISP	Computer Retrieval of Information on Scientific Projects Thesaurus	The Computer Retrieval of Information on Scientific Projects (CRISP) Thesaurus was developed by the National Institutes of Health for use in the CRISP database of research projects funded by the U.S. Public Health Service (PHS).\r\n\r\nCRISP contains over 8,000 preferred terms that are grouped hierarchically into 11 domains. The 11 domains are:\r\n\r\n- anatomy\r\n- behavioral/social science\r\n- biology\r\n- chemical\r\n- disease/disorder\r\n- food science/technology\r\n- medicine\r\n- named group\r\n- organism\r\n- physical science\r\ntechnology/technique	https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/CSP/index.html	Anita Ghebeles	2013-05-08T00:00:00.000+00:00	https://data.bioontology.org/users/admin
DUO	The Data Use Ontology	An ontology based on the consent codes decsription from the Dyke et al. paper at http://dx.doi.org/10.1371/journal.pgen.1005772. It allows to semantically tag datasets with restriction about their usage, making them discoverable automatically based on the authorization level of users, or intended usage. This resource is based on the OBO Foundry principles, and its use is under review by the Broad Institute ad the European Genome-phenome Archive (EGA) at EMBL-EBI.	https://github.com/EBISPOT/DUO	Melanie Courtot	2021-02-23T18:04:53.000-08:00	https://data.bioontology.org/users/vendetti
DMDSONT	Diabetes Mellitus Diagnosis and Support Ontology 	Diabetes Mellitus Diagnosis and Support Ontology (DMDSOnt) is created using OWL 2.0 according to the directions given in the IDF’s guidelines (2022). As required and directed in the IDF’s guidelines, DMDSOnt contains concepts and relations about the signs and symptoms observed in DM, active lifestyle expected from patients, genetic conditions of patients, physical activities to be followed, laboratory tests, other factors/criteria in the diagnosis of DM, and supportive treatment recommendations for the proper management of DM risk.\r\n\r\nIDF:\tAmerican Diabetes Association Professional Practice Committee. (2022). 2.Classification and diagnosis of diabetes: standards of medical care in diabetes—2022. Diabetes Care, 45, (Supplement_1), S17-S38, DOI: /10.2337/dc22-S002, http://diabetesjournals.org/care/article-pdf/45/Supplement_1/S17/637547/dc22s002.pdf. 		Duygu Celik Ertugrul	2022-09-27T00:00:00.000+00:00	https://data.bioontology.org/users/duygucelik
CHR	Monochrom	Ontological representation of chromosomes in major species, Automatic translation of UCSC chromosome bands to OWL classes	https://github.com/monarch-initiative/monochrom/	Chris Mungall	2025-10-20T18:01:24.000-07:00	https://data.bioontology.org/users/cjmungall
CHRO	Chromatin Regulator Ontology	Functional and biochemical description of covalent histone modifiers and chromatin remodeler proteins.		Minyoung Ahn	2024-01-05T00:00:00.000+00:00	https://data.bioontology.org/users/myng-ahn
COMO	Context and Measurement Ontology	Ontological terms to describe experimental data, probably useful for other environmental microbiology projects.  Used in several CORAL (Contextual Ontology-based Repository Analysis Library) deployments.  See more about this platfom at https://github.com/jmchandonia/CORAL		John-Marc Chandonia	2025-10-17T18:02:10.000-07:00	https://data.bioontology.org/users/jmchandonia
MCO4HKE	Multiplex Classification Ontology for the HyperKvasir Experiment	Ontology used for one of the experiments from the Multiplex Classification Framework (paper under review). This ontology is based on the set of classes from the HyperKvasir dataset. The HyperKvasir dataset is a manually annotated, multi-class image and video dataset for gastrointestinal endoscopy (Borgli et al., 2020). For the Multiplex experiment, only pathological finding labels were used (such as “Esophagitis grade A,” “Esophagitis grade B-D,” and “Hemorrhoids").\r\n\r\nData Article: Borgli et al. (2020). HyperKvasir, a comprehensive multi-class image and video dataset for gastrointestinal endoscopy. Scientific Data, 7(1), 283. https://doi.org/10.1038/s41597-020-00622-y		Mauro Nievas Offidani	2024-09-07T00:00:00.000+00:00	https://data.bioontology.org/users/mauro.nievasoffidani
COPDO	COPD Ontology	The COPD Ontology  is a biomedical ontology used for modelling concepts associated to chronic obstructive pulmonary disease in routine clinical databases.	http://clininf.eu	Louise Rayner	2017-06-26T00:00:00.000+00:00	https://data.bioontology.org/users/harshanal
XCO	Experimental Conditions Ontology	The Experimental Conditions Ontology is designed to represent the conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.	https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=XCO:0000000	Anne Kwitek	2025-10-20T18:18:13.000-07:00	https://data.bioontology.org/users/jrsmith_rgd
COGAT	Cognitive Atlas Ontology	The Cognitive Atlas is a collaborative knowledge building project that aims to develop an ontology that characterizes the state of current thought in cognitive science.  It defines a set of mental concepts along with a set of mental tasks, and the measurement relations between those classes.	http://www.cognitiveatlas.org	Russell Poldrack	2012-04-03T00:00:00.000+00:00	https://data.bioontology.org/users/poldrack
HIVO004	HIVOntologymain.owl	\r\nA Project of Biomedical Ontology for Systems Biomedicine. The Project includes, so far, a main ontology (HIVOnt0**.owl) which is imported by several other sub ontologies AIDSClinic0**.owl, etc. The goals of the Project include: (1). To pilot the novel researches on AIDS and HIV or other diseases by viruses, by means of the ontology and other biomedical informatics technologies, connecting the insights of the Biomedical Knowledge Integration (BMKI), systems biomedicine, complexity sciences etc. (2). To Carry out the methodology explorations for the goals above.	http://biomedinteg.org	Hanfei Bao	2020-10-07T00:00:00.000+00:00	https://data.bioontology.org/users/HanfeiBaoOnt
MCO	Microbial Conditions Ontology	Microbial Conditions Ontology contains terms to describe growth conditions in microbiological experiments. The first version is based on gene regulation experiments in Escherichia coli K-12. It is being used in RegulonDB to link growth conditions to gene regulation data.	https://github.com/microbial-conditions-ontology/microbial-conditions-ontology	Citlalli Mejía-Almonte	2019-05-15T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
PBO	Plant Breeding Ontology	Plant Breeding Ontology (PBO): an ontology for the plant breeding community which captures more than 2200 entries where 80 represent the core terms. PBO has translations in 8 different languages: English (main language), Spanish, French, Dutch, German, Japanese, Catalan and Thai, as well as their definitions, synonyms, derived terms and samples of their usage. PBO has been built partially manually and semi automatically.		Erick Antezana	2024-08-30T00:00:00.000+00:00	https://data.bioontology.org/users/erick.antezana%40gmail.com
HGNC	HUGO Gene Nomenclature	Human Genome Organisation (HUGO) Gene Nomenclature Committee at the European Bioinformatics Institute approves a gene name and symbol (short-form abbreviation) for each known human gene. All approved symbols are stored in the HGNC database.	http://www.genenames.org/	Dr. Elspeth Bruford	2025-09-09T09:11:48.000-07:00	https://data.bioontology.org/users/admin
PDRO	The Prescription of Drugs Ontology	PDRO is a realist ontology that aims to represent the domain of drug prescriptions. Such an ontology is currently missing in the OBOFoundry and is highly relevant to the domains of existing ontologies like DRON, OMRSE and OAE. PDRO’s central focus is the structure of a drug prescription, which is represented as a mereology of informational entities. Our current use cases are (1) refining this structure (e.g., adding closure axioms, cardinality, datatype bindings, etc) for prospectively standardizing local electronic prescriptions and (2) annotating prescription data of differing EHRs for detecting inappropriate prescriptions using a central semantic framework. Future ontological work will include aligning PDRO more closely with the Document Acts Ontology.	https://github.com/OpenLHS/PDRO	Ryeyan Taseen	2020-02-25T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
NPO	NanoParticle Ontology	An ontology that represents the basic knowledge of physical, chemical and functional characteristics of nanotechnology as used in cancer diagnosis and therapy.	http://www.nano-ontology.org	Nathan Baker	2011-02-12T00:00:00.000-08:00	https://data.bioontology.org/users/sobolevnrm
CCONT	Cell Culture Ontology	CCONT is an ontology for the formal representation of cell lines and their correspnding culture conditions.		Matthias Ganzinger	2014-07-23T00:00:00.000+00:00	https://data.bioontology.org/users/mganzinger
VODAN_ANC	VODAN ANC Vocabulary 	This is a general comment that will be ignored. The converter will detect automatically the line containing the column titles below, so you can have a header as long as you want.	https://vodan-totafrica.info/ANC	Tesfit Gebremeskel	2024-07-25T00:00:00.000+00:00	https://data.bioontology.org/users/igniter
ENVO	Environment Ontology	Official PURL: http://purl.obolibrary.org/obo/envo.owl\r\n\r\n\r\nThe most up-to-date information about ENVO is available here: http://www.obofoundry.org/ontology/envo.html\r\n\r\n\r\nEnvO is an OBO Foundry and Library ontology for the concise, controlled description of environmental entities such as ecosystems, environmental processes, and environmental qualities. It closely interoperates with a broad collection of other OBO ontologies and is used in a diverse range of projects. \r\n\r\n, ENVO is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities	http://environmentontology.org/	Pier Luigi Buttigieg	2025-10-22T18:04:54.000-07:00	https://data.bioontology.org/users/plbuttigieg;https://data.bioontology.org/users/obo-envo%40lists.sourceforge.net
G-PROV	Guideline Provenance	The ontology provides the vocabulary for enabling provenance in clinical decision support systems. 	https://tetherless-world.github.io/GProv/	Nkechinyere Agu	2019-04-10T00:00:00.000+00:00	https://data.bioontology.org/users/Nkechinyere-Agu
BTO_ONTOLOGY	Brain Tumour Ontology	The purpose of this work is to develop an ontology-based framework for developing an information retrieval system to cater to specific queries of users. For creating such an ontology, information was obtained from a wide range of information sources involved with brain tumour study and research. The information thus obtained was compiled and analysed to provide a standard, reliable and relevant information base to aid our proposed system. Facet-based methodology has been used for ontology formalization for quite some time. Ontology formalization involves different steps such as identification of the terminology, analysis, synthesis, standardization and ordering. A vast majority of the ontologies being developed nowadays lack flexibility. This becomes a formidable constraint when it comes to interoperability. We found that a facet-based method provides a distinct guideline for the development of a robust and flexible model concerning the domain of brain tumours. Our attempt has been to bridge library and information science and computer science, which itself involved an experimental approach. It was discovered that a faceted approach is really enduring, as it helps in the achievement of properties like navigation, exploration and faceted browsing. Computer-based brain tumour ontology supports the work of researchers towards gathering information on brain tumour research and allows users across the world to intelligently access new scientific information quickly and efficiently.	https://github.com/subhashishhh/BTO-Ontology/blob/master/BrainTumour_ontology.owl	SUBHASHIS DAS	2016-01-01T00:00:00.000+00:00	https://data.bioontology.org/users/subhashis
MCCL	Cell Line Ontology [by Mahadevan]	Ontologies provide a common platform of controlled vocabulary for researchers who need to share information across a particular domain, inclusive of machine-interpretable definitions of basic concepts in the domain and relations among them. The need for ontologies that provide a systematic arrangement of available data and allow cross talk across various related domains is gaining momentum. In this backdrop, we have developed a comprehensive ontology on primary and established cell lines-both normal and pathologic. It covers around 400 cell lines. This ontology has been built to include the major domains in the field of biology like anatomy, bio-molecules, chemicals and drugs, pathological conditions and genetic variations around the cell lines. An extensive network of relations has been built across these concepts to enable different combinations of queries. The ontology covers all cell lines from major sources like ATCC, DSMZ, ECACC, ICLC etc. and is built in OWL format.	http://www.molecularconnections.com	Usha Mahadevan	2014-08-05T00:00:00.000+00:00	https://data.bioontology.org/users/usha
MCCV	Microbial Culture Collection Vocabulary	Structured controlled vocabulary for describing meta information of microbial calture collection maintained in biological research centers		Shuichi Kawashima	2015-04-08T00:00:00.000+00:00	https://data.bioontology.org/users/skwsm
BLLM	Large Language Model Ontology					https://data.bioontology.org/users/kchemorion
DRPSNPTO	Dementia-Related Psychotic Symptoms Non-Pharmacological Treatment Ontology	The DRPSNPTO ontology represents the domain knowledge specific to non-pharmacological treatment of psychotic symptoms in dementia in the long-term care setting.		Zhenyu Zhang	2021-03-08T00:00:00.000+00:00	https://data.bioontology.org/users/ZZY
GOLDTERMS	GOLD Ecosystem Classification	A rendering of the JGI GOLD ecosystem classification (https://gold.jgi.doe.gov/ecosystem_classification)	https://github.com/cmungall/gold-ontology	Chris Mungall	2025-01-27T18:06:09.000-08:00	https://data.bioontology.org/users/cjmungall
PIERO	Enzyme Reaction Ontology for annotating Partial Information of chemical transformation	Enzyme Reaction Ontology for annotating Partial Information of chemical transformation	http://reactionontology.org	Masaaki Kotera	2014-05-01T16:47:11.000-07:00	https://data.bioontology.org/users/maskot1977
FCC1	Fernald Community Cohort N	Fernald Community Cohort meta data	http://www.semanticweb.org/diwaleva/ontologies/2019/9/fcc-ontology	Varsha Diwale	2019-10-03T00:00:00.000+00:00	https://data.bioontology.org/users/diwaleva
FO	Fern Ontology	Fern Ontology (FO) is a controlled and structured vocabulary of fern specific anatomy and lifecycle. 		Shuichi Kawashima	2015-03-16T00:00:00.000+00:00	https://data.bioontology.org/users/skwsm;https://data.bioontology.org/users/synobu;https://data.bioontology.org/users/hkanegae
